Hash,1,2,3,4,5,6,7,8,Min,Average,Max,Variance,Median
bbs,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
city_2,14789,14817,14851,14822,14838,14795,14798,14814,14789,14815.50,14851,463.14,14816
city_3,14834,14813,14862,14828,14814,14799,14793,14784,14784,14815.88,14862,634.12,14814
city_4,14818,14842,14825,14833,14859,14821,14870,14834,14818,14837.75,14870,339.93,14834
esgtsa_linear,14811,14795,14812,14838,14813,14807,14804,14805,14795,14810.63,14838,155.70,14809
esgtsa_nested,14791,14831,14822,14832,14815,14809,14794,14814,14791,14813.50,14832,232.86,14815
fast,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
ign,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
iqint1_linear,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
iqint1_nested,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
iqint2,16,22,15,4,15,11,14,8,4,13.13,22,29.84,15
iqint3,15233,15232,15254,15240,15224,15256,15230,15257,15224,15240.75,15257,172.21,15237
jkiss32_linear,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
jkiss32_nested,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
lcg_linear,15373,15375,15373,15375,15375,15375,15375,15375,15373,15374.50,15375,0.86,15375
lcg_nested,15375,15375,15375,15375,15375,15375,15374,15375,15374,15374.88,15375,0.13,15375
md5_2,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0
md5_3,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0
md5,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0
murmur3_2,14794,14785,14822,14800,14809,14810,14800,14811,14785,14803.88,14822,132.41,14805
murmur3_3,14804,14813,14811,14838,14803,14831,14807,14818,14803,14815.63,14838,162.84,14812
murmur3_4,14814,14853,14802,14822,14785,14811,14805,14825,14785,14814.63,14853,396.84,14813
pcg_linear,14834,14804,14818,14788,14804,14841,14803,14823,14788,14814.38,14841,317.41,14811
pcg_nested,14812,14778,14832,14781,14779,14812,14791,14812,14778,14799.63,14832,403.12,14802
pcg2d,10,8,3,4,6,7,6,14,3,7.25,14,12.21,7
pcg3d,117,107,131,111,95,103,93,74,74,103.88,131,294.13,105
pcg3d16,15372,15372,15372,15372,15372,15372,15372,15372,15372,15372.00,15372,0.00,15372
pcg4d,4,1,1,1,1,0,1,0,0,1.13,4,1.55,1
pseudo,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
ranlim32_linear,14790,14811,14832,14848,14782,14787,14822,14793,14782,14808.13,14848,578.13,14802
ranlim32_nested,14829,14836,14828,14830,14799,14819,14778,14816,14778,14816.88,14836,377.84,14824
superfast_2,14797,14802,14807,14833,14825,14796,14803,14816,14796,14809.88,14833,182.41,14805
superfast_3,14816,14821,14799,14827,14827,14817,14816,14859,14799,14822.75,14859,291.64,14819
superfast_4,14809,14798,14823,14823,14826,14826,14787,14825,14787,14814.63,14826,225.41,14823
tea2,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
tea3,13111,13857,14197,13872,12828,14816,12655,13447,12655,13597.88,14816,532371.55,13652
tea4,9,9,9,25,11,3,9,7,3,10.25,25,41.07,9
tea5,11,6,9,7,11,11,6,11,6,9.00,11,5.43,10
trig,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
wang_linear,14785,14830,14741,14778,14809,14797,14797,14803,14741,14792.50,14830,678.29,14797
wang_nested,14814,14804,14842,14819,14815,14836,14822,14809,14804,14820.13,14842,168.98,14817
xorshift128,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
xorshift32_linear,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
xorshift32_nested,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
xxhash32_2,14845,14794,14872,14809,14821,14825,14812,14819,14794,14824.63,14872,577.98,14820
xxhash32_3,14801,14858,14834,14844,14808,14785,14818,14813,14785,14820.13,14858,571.27,14816
xxhash32_4,14830,14817,14832,14803,14804,14787,14788,14784,14784,14805.63,14832,364.84,14804
hybridtaus,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
white,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
black,15375,15375,15375,15375,15375,15375,15375,15375,15375,15375.00,15375,0.00,15375
checkerboard,15372,15372,15372,15372,15372,15372,15372,15372,15372,15372.00,15372,0.00,15372
/dev/random,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0
