HASH,BRISK
city,BRISK,18,23,16,17,17,18,18,16,18,19,15,16,18,18,19,17,16,17,17,17,16
esgtsa_linear,BRISK,1569,488,94,14,13,17,15,13,14,16,13,12,15,12,12,11,14,12,14,11,11
esgtsa_nested,BRISK,19,18,17,20,17,21,17,19,19,17,17,19,16,17,16,16,16,18,17,15,18
hybridtaus,BRISK,13,12,8,6,5,4,3,3
iqint1_linear,BRISK,1222,153,177,43,95,29,26,26,32,32,24,29,25,26,22,25,25,25,26,26,22
iqint1_nested,BRISK,16,16,16,20,17,16,17,19,19,20,17,18,20,18,19,19,19,16,16,20,15
iqint2,BRISK,20,17,17,15,15,20,16,19,14,19,16,15,15,17,17,17,16,16,16,14,15
iqint3,BRISK,17,20,21,17,18,17,17,16,18,18,18,17,17,16,17,18,18,19,21,18,16
jkiss32_linear,BRISK,
jkiss32_nested,BRISK,
lcg_linear,BRISK,51,69,51,51,53,51,42,46,45,37,35,35,34,38,33,36,34,26,37,28,33
lcg_nested,BRISK,66,45,43,40,38,39,28,31,25,34,30,22,31,32,33,23,38,21,19,22,24
md5,BRISK,18,17,16,16,15,18,16,19,16,15,16,15,15,14,15,17,14,15,15,15,17
murmur3,BRISK,17,19,21,18,18,23,18,17,18,17,18,18,16,18,20,17,21,19,17,17,17
pcg3d,BRISK,17,17,15,15,15,17,19,19,16,16,17,16,15,16,14,16,14,18,17,18,13
pcg4d,BRISK,16,16,15,18,16,15,17,16,18,14,16,15,19,15,16,14,17,14,13,16,13
ranlim32_linear,BRISK,1572,465,29,20,16,20,23,14,15,12,14,16,13,13,11,14,13,13,11,13,26
ranlim32_nested,BRISK,19,17,19,19,20,17,18,20,17,18,20,18,18,18,18,19,15,18,15,18,17
superfast,BRISK,21,21,18,18,16,17,18,17,15,16,18,15,20,18,17,16,16,16,17,18,16
tea2,BRISK,42,33,19,16,16,20,22,16,15,20,17,15,13,16,14,16,14,13,17,14,15
tea3,BRISK,18,21,17,17,14,16,16,21,17,15,17,15,14,16,16,16,22,15,16,15,19
tea4,BRISK,14,15,15,18,17,17,15,16,15,15,15,16,17,17,15,13,15,16,17,14,13
tea5,BRISK,16,15,19,16,18,20,15,15,15,18,16,14,16,14,16,15,15,17,15,14,16
wang_linear,BRISK,1581,499,16,31,16,15,12,14,13,17,12,12,12,14,11,15,13,13,15,11,12
wang_nested,BRISK,18,19,20,19,16,20,18,20,17,17,16,16,19,20,16,18,17,18,17,17,17
xorshift128,BRISK,
xorshift32_linear,BRISK,402,41,35,49,21,25,24,26,40,20,15,19,21,18,15,15,18,18,14,17,15
xorshift32_nested,BRISK,154,195,113,78,54,66,43,45,43,23,37,27,20,19,19,23,26,23,22,23,17
xxhash32,BRISK,18,16,20,17,17,20,18,18,18,20,19,20,17,18,20,17,17,18,17,19,18
